case_id,category,difficulty,diagnosis_type,symptoms,topology,show_outputs,expected_fault,osi_layer,concept,severity,expected_next_command,expected_fix,verification_command
NC001,VLAN,Easy,Deterministic,User on PC-ACCT-04 in Accounting cannot access the internal payroll application on 10.20.10.50. She says her network icon shows connected but she cannot open the webpage or ping the server.,"Switch SW-ACCESS-BUILDING2 interface GigabitEthernet0/5 connects to PC-ACCT-04. Accounting devices are required to be on VLAN 20 (10.20.20.0/24), while payroll servers reside on VLAN 10 (10.20.10.0/24).","SW-ACCESS-BUILDING2# show vlan brief

VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Gi0/1, Gi0/3, Gi0/4, Gi0/5, Gi0/6
10   Data_Servers                     active    Gi0/2
20   Accounting                       active    Gi0/7, Gi0/8

SW-ACCESS-BUILDING2# show interface GigabitEthernet0/5 switchport
Name: Gi0/5
Administrative Mode: dynamic auto
Operational Mode: static access
Administrative Trunking Encapsulation: negotiate
Negotiation of Trunking: On
Access Mode VLAN: 1 (default)",Interface GigabitEthernet0/5 on switch SW-ACCESS-BUILDING2 is assigned to the default VLAN 1 instead of Accounting VLAN 20.,Layer 2 Data Link,vlan_mismatch,High,switchport access vlan 20,Configure Gi0/5 as an access port in VLAN 20.,show vlan brief; show interfaces switchport; ping 10.20.10.50
NC002,VLAN,Medium,Deterministic,"NOC monitor flagged recurring syslog warnings on SW-CORE-01: '%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (1), with SW-ACCESS-01 GigabitEthernet0/1 (99)'. Traffic between switches is dropping intermittently.",Trunk link between core switch SW-CORE-01 and access switch SW-ACCESS-01 over interface GigabitEthernet0/1. The management policy dictates Native VLAN 99 for untagged control traffic across all trunks.,"SW-CORE-01# show interfaces trunk

Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

SW-ACCESS-01# show interfaces trunk

Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      99",Native VLAN mismatch on the trunk link between SW-CORE-01 (VLAN 1) and SW-ACCESS-01 (VLAN 99) on interface GigabitEthernet0/1.,Layer 2 Data Link,vlan_native_mismatch,Medium,switchport trunk native vlan 99,Configure native VLAN 99 on both trunk ends.,show interfaces trunk; verify native VLAN 99 on both ends
NC003,VLAN,Medium,Deterministic,"Executive desk phone (VoIP) in Branch 3 shows 'Configuring IP...' indefinitely. The PC plugged into the back of the phone works fine on VLAN 15, but phone traffic on VLAN 30 fails.",Switch SW-BR3-ACC01 connects to router R-BR3 over trunk interface Gi0/1. Data uses VLAN 15 (172.16.15.0/24) and Voice uses VLAN 30 (172.16.30.0/24).,"SW-BR3-ACC01# show interfaces GigabitEthernet0/1 switchport
Name: Gi0/1
Administrative Mode: trunk
Operational Mode: trunk
Administrative Native VLAN tagging: enabled
Voice VLAN: none
Trunking VLANs Enabled: 10,15,20

SW-BR3-ACC01# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1
Port        VLANs allowed on trunk
Gi0/1       10,15,20",Trunk interface GigabitEthernet0/1 on SW-BR3-ACC01 has an allowed VLAN list that explicitly excludes Voice VLAN 30.,Layer 2 Data Link,vlan_trunk_pruned,High,switchport trunk allowed vlan add 30,Add VLAN 30 to the trunk allowed VLAN list.,show interfaces trunk; verify VLAN 30 is allowed; verify phone DHCP
NC004,Gateway,Easy,Deterministic,Newly imaged workstation PC-ENG-12 cannot access intranet servers or external websites. The user can ping other computers in the same room (192.168.10.0/24) but nothing outside.,PC-ENG-12 is on subnet 192.168.10.0/24. The default gateway interface on core router R1-HQ is GigabitEthernet0/0/0 configured with IP 192.168.10.1.,"C:\> ipconfig /all

Windows IP Configuration
   Host Name . . . . . . . . . . . . : PC-ENG-12
   IPv4 Address. . . . . . . . . . . : 192.168.10.45(Preferred) 
   Subnet Mask . . . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . . . : 192.168.10.254
   DNS Servers . . . . . . . . . . . : 10.0.0.2

C:\> ping 192.168.10.1
Request timed out.
C:\> ping 192.168.10.254
Destination host unreachable.",Workstation PC-ENG-12 is statically configured with an incorrect default gateway IP (192.168.10.254 instead of 192.168.10.1).,Layer 3 Network,gateway_misconfig,High,ipconfig,Change the workstation default gateway to 192.168.10.1.,ipconfig /all; ping 192.168.10.1; ping 10.20.10.50
NC005,Gateway,Medium,Deterministic,"Application Server SRV-APP-02 is experiencing erratic connectivity. It can reach some local hosts in the 10.100.4.0 range, but fails to respond to ping from client hosts in 10.100.4.140/25.",Server SRV-APP-02 is connected to R-DC-01 interface Gi0/0/1. The subnet allocated for this DMZ segment is 10.100.4.0/24 (255.255.255.0).,"R-DC-01# show running-config interface GigabitEthernet0/0/1
Building configuration...
Current configuration : 150 bytes
!
interface GigabitEthernet0/0/1
 description DMZ_App_Segment
 ip address 10.100.4.1 255.255.255.128
 end

SRV-APP-02 Network Config:
IP: 10.100.4.50
Netmask: 255.255.255.0
Gateway: 10.100.4.1","Subnet mask mismatch between router interface Gi0/0/1 (255.255.255.128) and server SRV-APP-02 (255.255.255.0), causing the router to drop traffic for hosts above .127.",Layer 3 Network,subnet_mask_mismatch,Critical,show ip interface GigabitEthernet0/0/1,Make the router/server subnet masks consistent with the intended 10.100.4.0/24 subnet.,show ip interface Gi0/0/1; test hosts across the subnet boundary
NC006,Gateway,Easy,Deterministic,Users in the Legal department report intermittent network drops. Syslog on core router R-CORE displays repeated duplicate IP address notifications for 10.50.1.1.,Router R-CORE interface Gi0/0/0 serves as gateway 10.50.1.1/24 for the Legal VLAN. A technician recently installed a networked multifunction printer PRT-LEGAL-01.,"R-CORE# show logging | include Duplicate
%IP-4-DUPADDR: Duplicate datagram on GigabitEthernet0/0/0, sourced by 0015.fa2b.88c10015.fa2b.88c1

R-CORE# show arp | include 10.50.1.1
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.50.1.1               -   0007.EC12.A001  ARPA   GigabitEthernet0/0/0
Internet  10.50.1.1               0   0015.FA2B.88C1  ARPA   GigabitEthernet0/0/0",Duplicate IP address conflict on default gateway IP 10.50.1.1 caused by newly deployed printer PRT-LEGAL-01 configured statically with the gateway's IP.,Layer 3 Network,duplicate_ip,Critical,show arp,Remove the duplicate 10.50.1.1 address from the printer.,show arp; show logging | include DUPADDR; verify unique IPs
NC007,DHCP,Medium,Deterministic,Monday morning users in the Call Center (VLAN 40) are unable to access any network resources or internet. IPConfig shows addresses starting with 169.254.x.x.,Call Center workstations pull IP addresses from DHCP server SRV-DHCP-01 via DHCP relay on router R-CAMPUS interface Gi0/0/0.40. Pool size is 100 addresses (172.20.40.10 to 172.20.40.110).,"SRV-DHCP-01# show ip dhcp binding
Bindings from all pools: 100 total bindings.

R-CAMPUS# show ip dhcp pool CALL_CENTER
Pool CALL_CENTER :
 Total addresses       : 100
 Leased addresses      : 100
 Pending addresses     : 0
 Failed addresses      : 0
 Subnet size index     : 255.255.255.0","DHCP scope exhaustion in the CALL_CENTER pool on SRV-DHCP-01; all 100 leases are active, causing new clients to fail over to APIPA (169.254.x.x).",Layer 7 Application,dhcp_scope_exhaustion,High,show ip dhcp pool,Increase/reclaim DHCP scope capacity after confirming required leases.,show ip dhcp pool; obtain a new client lease
NC008,DHCP,Medium,Deterministic,All laptops connected to switch SW-BRANCH2 on VLAN 25 fail to acquire an IP address from the corporate central DHCP server (10.10.10.5). They timeout and assign APIPA addresses.,Branch router R-BR2 acts as the layer 3 gateway for VLAN 25 on subinterface Gi0/0/0.25 (192.168.25.1/24). Central DHCP server resides across a WAN link at 10.10.10.5.,"R-BR2# show running-config interface GigabitEthernet0/0/0.25
Building configuration...
!
interface GigabitEthernet0/0/0.25
 encapsulation dot1Q 25
 ip address 192.168.25.1 255.255.255.0
end","Missing `ip helper-address 10.10.10.5` configuration on router subinterface GigabitEthernet0/0/0.25, preventing DHCP broadcast forwarding across the layer 3 boundary.",Layer 3 Network,dhcp_relay_missing,High,show running-config interface GigabitEthernet0/0/0.25,Add ip helper-address 10.10.10.5 to Gi0/0/0.25.,show running-config interface Gi0/0/0.25; renew DHCP lease
NC009,DHCP,Hard,Deterministic,"A static network monitoring appliance MON-SVR-01 (192.168.1.15) suddenly lost network connection. Ping to 192.168.1.15 responds, but MAC address lookup reveals a laptop MAC instead of the appliance.",LAN subnet is 192.168.1.0/24. Router R-GW provides DHCP services for dynamic clients. Static servers are assigned IPs from 192.168.1.2 through 192.168.1.20.,"R-GW# show running-config | section dhcp
ip dhcp excluded-address 192.168.1.1 192.168.1.10
!
ip dhcp pool LAN_POOL
 network 192.168.1.0 255.255.255.0
 default-router 192.168.1.1
 dns-server 8.8.8.8

R-GW# show ip dhcp binding | include 192.168.1.15
192.168.1.15        0100.21ccc.88a1.2b    Nov 14 2026 08:30 AM    Automatic","DHCP excluded-address range (192.168.1.1 - 192.168.1.10) is too small, allowing the DHCP pool to issue static server IP 192.168.1.15 to a dynamic wireless client.",Layer 7 Application,dhcp_excluded_range,High,ip dhcp excluded-address 192.168.1.1 192.168.1.30,Expand the DHCP excluded range to protect static server addresses.,show ip dhcp binding; verify 192.168.1.15 is reserved
NC010,DNS,Medium,Deterministic,"Remote VPN users connected via Cisco AnyConnect report they can ping internal IP addresses like 10.8.0.25 but cannot open internal websites using domain names (e.g., portal.corp.local).","VPN Gateway ASA-5515 hands out network configurations to remote clients. Internal DNS server is 10.8.0.2 (DC-DNS-01), but public DNS 8.8.8.8 cannot resolve internal .local domains.","ASA-5515# show running-config group-policy RA_VPN_Policy
group-policy RA_VPN_Policy internal
group-policy RA_VPN_Policy attributes
 dns-server value 8.8.8.8 8.8.4.4
 default-domain value corp.local
 split-tunnel-policy tunnelall","The VPN Group Policy is configured with public DNS servers (8.8.8.8) instead of the internal DNS server (10.8.0.2), causing internal domain resolution failures.",Layer 7 Application,dns_server_unreachable,High,show running-config group-policy,Configure the VPN policy to use internal DNS 10.8.0.2.,nslookup portal.corp.local from a VPN client
